Post_ID,Address,Building_Type,Bedrooms,Bathrooms,Monthly_Rent_USD,Square_Footage,Distance_to_Campus_Miles,Amenities,Availability
HP-1188,5377 S Woodlawn Ave,Student Housing,Studio,1.0,1267,456,1.14,"Balcony, In-unit Laundry, Hardwood Floors, Doorman, Radiator Heat",Immediate
HP-1189,5354 S Woodlawn Ave,Modern High-Rise,1,1.0,1815,779,0.5,"Central Air, In-unit Laundry",June 1st
HP-1190,5461 E 54th St,Mid-Rise,Studio,1.0,1546,514,0.21,"Hardwood Floors, Central Air, Parking Included, Pet Friendly",June 1st
HP-1191,5202 S Blackstone Ave,Converted Loft,2,1.0,2550,991,1.47,"Pet Friendly, In-unit Laundry, Radiator Heat",August 1st
HP-1192,5643 E 55th St,Converted Loft,2,2.0,2388,1172,0.49,"Central Air, Rooftop Deck, Doorman",Immediate
HP-1193,5011 S University Ave,Modern High-Rise,2,2.0,2646,908,0.73,"Parking Included, In-unit Laundry",Immediate
HP-1194,5352 E 55th St,Vintage Walk-up,2,2.0,2039,1124,1.49,"Doorman, Radiator Heat",June 1st
HP-1195,5412 S Ridgewood Ct,Mid-Rise,3,3.0,3491,1463,0.83,"Pet Friendly, Balcony, Doorman, Rooftop Deck",August 1st
HP-1196,5700 S Kenwood Ave,Renovated Greystone,1,1.0,1955,742,0.17,"Hardwood Floors, Radiator Heat, Central Air",July 1st
HP-1197,4952 S Kimbark Ave,Converted Loft,2,2.0,2418,1113,0.52,"Doorman, Radiator Heat, Central Air, Fitness Center, Hardwood Floors",June 1st
HP-1198,5222 E 54th St,Mid-Rise,1,1.0,1925,614,0.38,"Hardwood Floors, Pet Friendly, Balcony",Immediate
HP-1199,5649 E 55th St,Student Housing,2,1.0,2741,1174,1.04,"Balcony, Hardwood Floors",Immediate
HP-1200,5541 S Lake Shore Dr,Mid-Rise,Studio,1.0,1401,544,0.52,"Central Air, Pet Friendly, Rooftop Deck",Immediate
